市区町村,latitude,longitude,合計特殊出生率
つくば市,36.083486,140.076642,1.49
ひたちなか市,36.396615,140.534676,1.43
鹿嶋市,35.965756,140.644813,1.49
潮来市,35.947123,140.555372,1.18
守谷市,35.951421,139.975391,1.44
常陸大宮市,36.542577,140.41089,1.21
那珂市,36.457469,140.486854,1.33
筑西市,36.307053,139.983123,1.35
坂東市,36.048738,139.88832,1.3
稲敷市,35.956492,140.323908,1.1
かすみがうら市,36.094529,140.330691,1.26
桜川市,36.32725,140.090433,1.1
神栖市,35.889966,140.664513,1.54
行方市,35.990416,140.489025,1.27
鉾田市,36.15864,140.516461,1.32
つくばみらい市,35.963024,140.03702,1.53
小美玉市,36.239345,140.352576,1.4
茨城町,36.286921,140.424514,1.27
大洗町,36.313443,140.574974,1.2
城里町,36.479363,140.376166,1.12
東海村,36.47288,140.566299,1.44
大子町,36.768096,140.355266,1.24
美浦村,36.004562,140.301914,1.39
阿見町,36.030795,140.214786,1.29
河内町,35.884794,140.244465,1.18
八千代町,36.181635,139.891129,1.36
五霞町,36.114113,139.745832,1.09
境町,36.108426,139.794961,1.35
利根町,35.857747,140.139148,1.03
宇都宮市,36.555112,139.882807,1.42
足利市,36.340151,139.449698,1.22
栃木市,36.38238,139.734081,1.28
佐野市,36.308578,139.593118,1.32
鹿沼市,36.567111,139.745013,1.34
日光市,36.719903,139.698216,1.23
小山市,36.314671,139.800131,1.4
真岡市,36.440419,140.013442,1.42
大田原市,36.871484,140.017419,1.25
矢板市,36.806686,139.924054,1.2
那須塩原市,36.961698,140.046066,1.34
さくら市,36.685301,139.966452,1.51
那須烏山市,36.656893,140.151426,1.23
下野市,36.387195,139.841967,1.34
上三川町,36.439296,139.909884,1.42
益子町,36.467353,140.093378,1.15
茂木町,36.53212,140.187565,1.22
市貝町,36.543308,140.102046,1.28
芳賀町,36.548323,140.058196,1.43
壬生町,36.427058,139.803932,1.18
野木町,36.233251,139.74075,1.27
塩谷町,36.777613,139.85057,1.16
高根沢町,36.630973,139.986684,1.45
那須町,37.019731,140.121017,1.24
那珂川町,36.761661,140.130072,1.18
前橋市,36.389482,139.063428,1.41
高崎市,36.321909,139.003294,1.4
桐生市,36.405491,139.330688,1.15
伊勢崎市,36.311364,139.19677,1.47
太田市,36.291122,139.375471,1.53
沼田市,36.646077,139.044161,1.29
館林市,36.244849,139.541968,1.22
渋川市,36.489471,139.000448,1.25
藤岡市,36.258477,139.074439,1.22
富岡市,36.259896,138.889932,1.24
安中市,36.326368,138.887324,1.24
みどり市,36.394838,139.281135,1.42
榛東村,36.438642,138.967118,1.45
吉岡町,36.447501,139.009766,1.65
上野村,36.083143,138.777376,1.37
神流町,36.116056,138.916955,1.34
下仁田町,36.21239,138.789094,1.21
南牧村,36.158548,138.711406,1.34
甘楽町,36.242954,138.921682,1.29
中之条町,36.589893,138.840986,1.36
長野原町,36.552446,138.637477,1.37
嬬恋村,36.516874,138.530182,1.5
草津町,36.620778,138.596053,1.31
高山村,36.620887,138.943449,1.46
東吾妻町,36.571347,138.825472,1.2
片品村,36.772469,139.225243,1.43
川場村,36.694669,139.106534,1.37
昭和村,36.639753,139.065865,1.46
みなかみ町,36.6787,138.999064,1.34
玉村町,36.304433,139.114913,1.33
板倉町,36.222952,139.610271,1.1
明和町,36.2113,139.534244,1.28
千代田町,36.217754,139.442435,1.32
大泉町,36.247902,139.40487,1.47
邑楽町,36.252394,139.462286,1.31
さいたま市,35.925302,139.579472,1.29
川越市,35.925101,139.485793,1.3
熊谷市,36.14731,139.388645,1.25
川口市,35.807738,139.724171,1.28
行田市,36.138949,139.455643,1.13
秩父市,35.992055,139.084817,1.29
所沢市,35.799672,139.46861,1.23
飯能市,35.855731,139.327734,1.17
加須市,36.131438,139.601719,1.16
本庄市,36.243568,139.190393,1.29
東松山市,36.042126,139.399959,1.26
春日部市,35.975198,139.752301,1.22
狭山市,35.852942,139.412213,1.25
羽生市,36.172626,139.548465,1.21
鴻巣市,36.065758,139.522169,1.19
深谷市,36.197444,139.281464,1.31
上尾市,35.977381,139.593206,1.31
草加市,35.825355,139.805402,1.21
越谷市,35.891084,139.790938,1.31
蕨市,35.825634,139.679708,1.09
戸田市,35.817616,139.677892,1.32
入間市,35.835766,139.391058,1.17
朝霞市,35.797252,139.593916,1.41
志木市,35.83675,139.580319,1.38
和光市,35.781208,139.605793,1.27
新座市,35.793511,139.565369,1.24
桶川市,36.005779,139.542531,1.2
久喜市,36.061995,139.666838,1.18
北本市,36.026768,139.530211,1.2
八潮市,35.822536,139.839175,1.34
富士見市,35.856759,139.549074,1.22
三郷市,35.830149,139.872275,1.35
蓮田市,35.994307,139.662106,1.23
坂戸市,35.95717,139.402905,1.19
幸手市,36.078072,139.725861,1.04
鶴ヶ島市,35.934515,139.393098,1.23
日高市,35.907796,139.339026,1.17
吉川市,35.891152,139.841375,1.39
ふじみ野市,35.879538,139.519764,1.26
白岡市,36.019026,139.676925,1.38
伊奈町,36.000112,139.624185,1.31
三芳町,35.828367,139.526432,1.22
毛呂山町,35.941501,139.316067,0.83
越生町,35.964478,139.294199,1.11
滑川町,36.065987,139.360917,1.52
嵐山町,36.056655,139.320542,1.07
小川町,36.056697,139.261845,1
川島町,35.982014,139.481518,1.09
吉見町,36.039853,139.453728,1.01
鳩山町,35.981466,139.334101,1.07
ときがわ町,36.00862,139.296844,1.12
横瀬町,35.987284,139.100046,1.35
皆野町,36.07084,139.098754,1.25
長瀞町,36.114803,139.109717,1.15
小鹿野町,36.017129,139.008574,1.05
東秩父村,36.058153,139.194607,1.19
美里町,36.177104,139.18141,1.23
神川町,36.213876,139.101776,1.11
上里町,36.251607,139.144826,1.25
寄居町,36.118348,139.193012,1.21
宮代町,36.022682,139.722885,1.29
杉戸町,36.025765,139.736709,1.09
松伏町,35.925774,139.815178,1.11
千葉市,35.608932,140.124636,1.24
銚子市,35.734681,140.826641,0.99
市川市,35.721912,139.93101,1.24
船橋市,35.694706,139.982618,1.24
館山市,34.996506,139.869965,1.43
木更津市,35.381227,139.92486,1.43
松戸市,35.787649,139.903093,1.22
野田市,35.955192,139.874764,1.18
茂原市,35.428544,140.288027,1.23
成田市,35.776608,140.318781,1.16
佐倉市,35.723486,140.223964,1.15
東金市,35.559944,140.366092,1.12
旭市,35.720434,140.646469,1.31
習志野市,35.683035,140.024365,1.3
柏市,35.867612,139.97585,1.3
勝浦市,35.152283,140.320932,1.21
市原市,35.497838,140.115665,1.31
流山市,35.85631,139.90266,1.59
八千代市,35.722468,140.099772,1.38
我孫子市,35.864123,140.028225,1.25
鴨川市,35.113987,140.098711,1.24
鎌ケ谷市,35.77675,140.00079,1.23
君津市,35.33045,139.902677,1.38
富津市,35.30412,139.857105,1.07
浦安市,35.653984,139.902203,1
四街道市,35.669816,140.167925,1.49
袖ケ浦市,35.429808,139.95443,1.55
八街市,35.665917,140.317952,1.05
印西市,35.832348,140.145815,1.54
白井市,35.7915,140.056372,1.26
富里市,35.726808,140.343058,1.18
南房総市,35.042991,139.840128,1.18
匝瑳市,35.707917,140.564281,1.18
香取市,35.897735,140.499268,1.16
山武市,35.602964,140.413506,1.09
いすみ市,35.253889,140.385051,1.28
大網白里市,35.521708,140.32096,1.19
酒々井町,35.724824,140.269547,1.05
栄町,35.840784,140.243831,0.99
神崎町,35.901602,140.405285,1.23
多古町,35.735434,140.467728,1.18
東庄町,35.83715,140.668581,1.24
九十九里町,35.535062,140.44025,1.03
芝山町,35.693056,140.414194,1.08
横芝光町,35.665568,140.504309,1.25
一宮町,35.372623,140.368659,1.26
睦沢町,35.361088,140.319273,1.27
長生村,35.412184,140.35406,1.05
白子町,35.45434,140.374234,1.17
長柄町,35.431125,140.227059,1.22
長南町,35.386421,140.237065,1.22
大多喜町,35.285191,140.245439,1.11
御宿町,35.191506,140.348796,1.14
鋸南町,35.111159,139.835509,1.12
千代田区,35.694003,139.753595,1.21
中央区,35.670651,139.771861,1.37
港区,35.658068,139.751599,1.28
新宿区,35.69384,139.703549,0.97
文京区,35.708068,139.752167,1.09
台東区,35.712607,139.779996,1.08
墨田区,35.710722,139.801497,1.13
江東区,35.672854,139.81741,1.21
品川区,35.609226,139.730186,1.1
目黒区,35.641463,139.698171,0.97
大田区,35.561257,139.716051,1.1
世田谷区,35.646572,139.653247,0.99
渋谷区,35.661777,139.704051,0.95
中野区,35.707399,139.663835,0.91
杉並区,35.699566,139.636438,0.95
豊島区,35.726118,139.716605,0.89
北区,35.752804,139.733481,1.13
荒川区,35.73608,139.783369,1.18
板橋区,35.751165,139.709244,1.03
練馬区,35.735623,139.651658,1.06
足立区,35.775664,139.804479,1.17
葛飾区,35.743575,139.84718,1.25
江戸川区,35.706657,139.868427,1.26
八王子市,35.666339,139.315806,1.1
立川市,35.714014,139.407843,1.23
武蔵野市,35.717784,139.56626,1.09
三鷹市,35.683513,139.559584,1.09
青梅市,35.787996,139.27583,1.11
府中市,35.668974,139.477661,1.2
昭島市,35.705755,139.353548,1.32
調布市,35.650615,139.540694,1.13
町田市,35.546631,139.438619,1.19
小金井市,35.699473,139.502992,1.18
小平市,35.728577,139.477456,1.27
日野市,35.671337,139.394926,1.26
東村山市,35.754597,139.468489,1.21
国分寺市,35.710335,139.463191,1.19
国立市,35.683885,139.44138,1.11
福生市,35.738451,139.326932,1.23
狛江市,35.634912,139.578733,1.13
東大和市,35.745369,139.426593,1.34
清瀬市,35.785753,139.52643,1.15
東久留米市,35.758048,139.529739,1.29
武蔵村山市,35.754861,139.387399,1.39
多摩市,35.637004,139.446307,1.09
稲城市,35.637924,139.504567,1.37
羽村市,35.767222,139.310944,1.31
あきる野市,35.72892,139.294119,1.27
西東京市,35.725496,139.538156,1.17
瑞穂町,35.772036,139.353846,1.16
